query_number,unnormalized_cardinality,normalized_cardinality
1,838,0.2929270718239568
2,297013,0.5484058393925356
3,31427248,0.7512763157849158
4,12,0.10814061376928175
5,733244,0.5877340594638042
6,515,0.2717398020457706
7,1141529,0.606997535367213
8,4344670,0.6651641924185605
9,7987245,0.6916627317769459
10,381253,0.5592719765817473
11,46,0.16661858527125506
12,3311512,0.6533468331115059
13,1038381,0.6028760341574022
14,2706674,0.6445697368627962
15,3495,0.3550752520176349
16,1274246,0.6117840160974867
17,7451973,0.6886439475663112
18,2990419,0.6489082722129172
19,267611,0.5438693562511636
20,3303,0.35261633238221046
21,8,0.09049518404797373
22,1312009,0.6130549845176857
23,33316050,0.7538162567266313
24,4416021,0.6658730843806773
25,1215398,0.6097263063922486
26,11017,0.40503966604569974
27,14570665,0.7178247944782278
28,325,0.25170619797919863
29,143,0.2159779581271907
30,789644,0.5909589766160652
31,1214571,0.6096966844493331
32,136323,0.5145154808031838
33,14469750,0.7175223376441933
34,1011676,0.6017421727851979
35,714822,0.5866267204535314
36,3056412,0.6498582118988618
37,5629,0.37581633170051376
38,956615,0.5993067360134575
39,2,0.03016506134932458
40,435786,0.565089946940786
41,2929788,0.6480168534499229
42,11216419,0.7064388540883842
43,2235039,0.6362375095384997
44,96573,0.4995132739642198
45,1152615,0.6074181325194089
46,4172273,0.6634021594292766
47,709850,0.5863229631409923
48,15207,0.41906654468325366
49,42883,0.46418353005546664
50,2889401,0.6474127729003898
51,12001,0.4087627345411839
52,549622,0.5751898098684926
53,22900,0.43688239275844637
54,33,0.15216445808061987
55,175118,0.5254140689968979
56,222131,0.5357631996791884
57,7657830,0.6898298322435009
58,2192596,0.635403144088456
59,14887750,0.7187616914657632
60,39,0.15943448218783599
61,712963,0.586513395495296
62,12,0.10814061376928175
63,23501220,0.7386287000385421
64,12691,0.41119558073023055
65,131642,0.5129948860153354
66,96943,0.4996796895976104
67,52890,0.4733111499757226
68,2310810,0.637688407883919
69,42,0.1626595858731531
70,81344,0.49204488863686646
71,2370751,0.6388028712018868
72,56946,0.47652673140891805
73,3671545,0.6578383261693684
74,741932,0.5882466726139526
75,662416,0.5833131935409662
76,213,0.23331799021332345
77,39982151,0.7617538525681145
78,398,0.2605243115297863
79,4198516,0.6636750303497451
80,744542,0.5883994969029118
81,2,0.03016506134932458
82,6646317,0.6836646810604399
83,843688,0.5938399571902638
84,49402,0.47034213794422
85,2,0.03016506134932458
86,1,0.0
87,4072192,0.6623455384269203
88,47016857,0.7688071078650958
89,20114,0.4312370743909251
90,1042283,0.6030392621233488
91,59,0.17745028848017777
92,20754,0.4326002155865821
93,1029245,0.6024914462008079
94,2016503,0.6317596734870053
95,8,0.09049518404797373
96,483,0.268948048445759
97,22363041,0.7364683004177024
98,1892838,0.629005464327291
99,561,0.2754630254500209
100,28177721,0.7465264946733072
101,6081642,0.6798007113205505
102,7261,0.38689564515792846
103,5995389,0.6791790839047909
104,19,0.12813899405050955
105,24382536,0.7402308429042633
106,33128308,0.7535703257503462
107,2,0.03016506134932458
108,2314071,0.6377497782982935
109,20032173,0.7316781653779453
110,6694220,0.6839772170356261
111,1556102,0.6204803862561858
112,11429999,0.7072597397826862
113,12698,0.4112195779651462
114,1194165,0.6089593104558957
115,314536973,0.8515190909163365
116,81818979,0.7929167573917614
117,922,0.2970843152044164
118,203113,0.531868040659549
119,624234,0.5807295384860934
120,2728943,0.6449263218414886
121,7567967,0.6893161262080916
122,149,0.21776666131085387
123,56848525,0.7770706700708035
124,29586445,0.7486495547072497
125,1879167,0.6286900084140465
126,5157644,0.6726290072801894
127,33,0.15216445808061987
128,177494679,0.8266192252979196
129,355,0.2555486025736885
130,86532,0.4947355461192005
131,2990610,0.6489110517098989
132,77,0.18903800046318325
133,10169372,0.702174070686221
134,2848793,0.6467968130979048
135,6639277,0.6836185598739923
136,544532,0.5747849066672648
137,120023,0.5089736132299935
138,1346178,0.614173853947514
139,18332497,0.7278195827500586
140,156,0.21976460488648514
141,1997146,0.6313399040888118
142,387979,0.5600330373516912
143,4479478,0.6664939896361842
144,45,0.16566208557226278
145,744010,0.5883683900276458
146,42,0.1626595858731531
147,258248,0.5423194680937407
148,210,0.23270068930415072
149,393813,0.5606825565792969
150,17363671,0.7254567139498191
151,85618,0.49427342906414423
152,28150437,0.7464843355789627
153,3932302,0.6608242703390047
154,1935005,0.6299643015885068
155,12761011,0.7120534915402909
156,10031889,0.701581710346867
157,2697169,0.6444166427135138
158,9847312,0.700773545629511
159,106824,0.5039036180052987
160,2945450,0.6482488767138248
161,35390077,0.7564444642532087
162,5291581,0.673744711357381
163,74146,0.48801281325075824
164,22791697,0.7372945806715233
165,459573,0.5674028286611522
166,5674,0.3761628529153576
167,2088756,0.6332917093039006
168,3246200,0.652479943594239
169,12632,0.4109927907980228
170,72446,0.48700340495692807
171,7813854,0.6907075952863396
172,14,0.11484909480252052
173,27192,0.44435834074336655
174,17561,0.4253300008520183
175,1543595,0.620129193935187
176,278473,0.5456008318619074
177,1345620,0.6141558112907823
178,1143,0.3064350844688328
179,8770496,0.6957338225318859
180,3985017,0.6614037940805025
181,77964,0.4901979475564269
182,1056939,0.6036469392522607
183,740622,0.5881697649472867
184,29660,0.44813911885125746
185,1,0.0
186,12500073,0.7111543883447308
187,413446,0.562799787205131
188,3041298,0.6496424760644376
189,2599585,0.6428129295142762
190,1520208,0.6194647920417927
191,133915414,0.8143585230661404
192,2218831,0.6359207697984046
193,1267919,0.6115673935077458
194,3476378,0.6554612492955133
195,429,0.2637884491978233
196,13130,0.41267551375151085
197,69236,0.48503110290250673
198,2575581,0.6424092179450698
199,4694,0.3679112513998741
200,3433275,0.6549182920392493
201,146979016,0.8184093339545071
202,116706,0.5077539745768525
203,269383,0.5441565695916956
204,4361932,0.6653367570294887
205,3376865,0.6541973194722824
206,795055,0.5912561714017559
207,22432,0.4359837953733218
208,11957367,0.7092227150780646
209,129336,0.5122257990431505
210,479803,0.5692775310064866
211,258870,0.5424241591753175
212,488154,0.5700284653067526
213,101317,0.5016002275796158
214,33759,0.45377255180065734
215,313480,0.5507541087034642
216,27712580,0.7458021138439407
217,1674159,0.6236627978689231
218,1420415,0.6165099363315736
219,19778058,0.7311225807130401
220,21316,0.43376299781899247
221,3674270,0.6578706137339138
222,409629,0.5623961468215656
223,32576,0.45222017620661303
224,69434,0.48515538017618315
225,420042,0.5634885966753033
226,773,0.2894133902827273
227,778,0.28969397787249823
228,429,0.2637884491978233
229,314,0.2502077437596965
230,58986126,0.7786770423588667
231,12670688,0.7117443669507856
232,1303666,0.612777365839313
233,10318,0.4021870143931412
234,49936,0.4708100225710297
235,450441,0.566529372414107
236,155,0.2194847390704152
237,3411365,0.6546396786409306
238,1357579,0.614540871310442
239,2771514,0.6455999690233133
240,336309,0.5538132677935995
241,9949305,0.7012219728583222
242,610917,0.5797910867935291
243,369694,0.5579321332244989
244,442387,0.5657442012316449
245,32529,0.45215734254950796
246,288926,0.5472044843835119
247,4494302,0.6666377698518374
248,442278,0.5657334772416026
249,9057189,0.697133630065756
250,87344,0.49514201592802126
251,659386,0.5831136738644156
252,21499,0.434135018029024
253,19953519,0.7315069568058828
254,16640,0.4229855853427976
255,378799,0.55899095381261
256,81160,0.49194633725899617
257,35495160,0.7565734927782728
258,458296,0.5672817356098413
259,680091,0.5844591726637798
260,433169,0.5648278170800913
261,982,0.29982801678627413
262,131640,0.5129942248385831
263,378876,0.5589997991930479
264,1602,0.32112693971756323
265,8594,0.3942306274547314
266,194499,0.5299821257662487
267,3347285,0.6538144309695121
268,6128,0.3795126874019244
269,17454365,0.7256834309133665
270,26663241,0.7441222555229418
271,917195,0.597475417457129
272,6771894,0.6844792670086174
273,322839,0.5520343582274788
274,1930,0.329233097101625
275,23998365,0.7395396989687354
276,20356,0.4317575448509481
277,3928,0.36015813948492326
278,8155239,0.6925685641409032
279,757992,0.5891786419676623
280,255300,0.5418198249238502
281,35,0.15472513688419356
282,3402734,0.6545294329414256
283,3199424,0.6518482965259468
284,148117,0.5181264873401965
285,1650,0.3224117262919397
286,4568446,0.6673498592914688
287,93,0.19725412671005016
288,499840,0.5710579990289478
289,2388210,0.6391221851688136
290,163571133,0.8230640432192312
291,390941,0.5603640183335238
292,132,0.21249458077926903
293,1082138,0.6046723213412101
294,517333,0.5725549964118104
295,397,0.26041482975024177
296,5,0.07004110343099762
297,83791280,0.793953367022828
298,1660869,0.623315951986716
299,1076953,0.6044633015565184
300,297,0.24778544022188506
301,1,0.0
302,1748180,0.6255456161412895
303,87,0.19435178582250867
304,12,0.10814061376928175
305,1237707,0.610517867935335
306,328221,0.5527538756590484
307,2,0.03016506134932458
308,1765741,0.6259805964654586
309,2504778,0.6411961248671671
310,10453544,0.7033734800849155
311,17,0.12329856736940105
312,857942,0.5945690629459077
313,2726265,0.6448835942865978
314,7324555,0.6878934005636612
315,9842,0.40013156922367277
316,1248879,0.6109089240785102
317,17601365,0.7260484113719807
318,11160062,0.7062196413720847
319,38,0.15830405539983414
320,582731,0.577735448689903
321,41903582,0.7637965546230049
322,1069051,0.6041428095452488
323,777,0.2896380048944712
324,2137953,0.6343048380389713
325,5,0.07004110343099762
326,6701798,0.6840264535922039
327,2422668,0.6397456068433702
328,2785,0.3451927215814801
329,152,0.21863417809848332
330,313,0.2500689271047794
331,25498396,0.7421782482570927
332,458418,0.5672933189741843
333,2252536,0.6365768712333713
334,665228,0.5834975435130609
335,93082,0.4979109757221098
336,27217405,0.7450174751126317
337,4891061,0.6703194272422491
338,97842,0.5000814027150472
339,1426839,0.6167063125103547
340,5093894,0.6720877478088295
341,6989602,0.6858563297324011
342,554134,0.5755456108814898
343,1108456,0.6057180539067379
344,1,0.0
345,26,0.14178905246652798
346,184062220,0.8282004102034549
347,23119,0.4372966012173749
348,169569,0.5240127529648023
349,1721700,0.624881382750515
350,44,0.16468408970863646
351,1057866,0.6036850913288239
352,60055286,0.779458787261762
353,5042,0.37102363043544806
354,15,0.11785159450163021
355,28808107,0.7474893613575346
356,4715345,0.6687271907948353
357,361427,0.5569479273866236
358,2340,0.3376161993881153
359,8269208,0.6931725290404869
360,729031,0.5874832913269479
361,1696420,0.6242376487763203
362,499598,0.5710369239959099
363,31241811,0.7510187707189816
364,2418890,0.6396776887242449
365,822645,0.5927407547205926
366,1163,0.30718998604129205
367,22788070,0.7372876546441564
368,23,0.1364535239219305
369,15356047,0.7201095009891102
370,117331447,0.8086050717204322
371,9233840,0.6979742510222903
372,383352,0.5595109145373166
373,408662,0.5622932912909036
374,1747317,0.6255241274177604
375,9536222,0.6993765368666947
376,6539903,0.6829622614518327
377,83685,0.4932796386118821
378,1581674,0.6211897371522448
379,364715,0.5573420414819631
380,8246266,0.6930516226489792
381,6569607,0.6831594755544725
382,798359,0.591436647951587
383,174,0.22451684717183323
384,42,0.1626595858731531
385,1081773,0.6046576401186803
386,22338,0.43580104842016243
387,6384033,0.681912483269178
388,3529832,0.6561253198647657
389,2148400,0.6345169734979228
390,1149553,0.6073023675458171
391,116285,0.5075967023012751
392,4209924,0.6637931176236853
393,322988,0.5520544389264683
394,135565,0.5142728259184323
395,1012740,0.6017879185248908
396,295368,0.5481641405082656
397,10808855,0.7048280867300563
398,386906,0.5599125139188593
399,18038074,0.7271149872769587
400,2438,0.3394016571872051
401,636,0.2809236856852318
402,25009887,0.7413364030295017
403,21203,0.4335316820864041
404,1262230,0.6113716896819428
405,1314151,0.6131259761444657
406,3557392,0.6564637850399117
407,38668961,0.7603004972366818
408,2230863,0.6361561215761603
409,1886579,0.628861322745413
410,1815,0.3265595285216048
411,3224306,0.6521854354735084
412,313244,0.5507213335718024
413,13961,0.415346188514547
414,53,0.17278307191595005
415,20289593,0.7322338359390511
416,1602477,0.6217583900296416
417,5,0.07004110343099762
418,10699647,0.7043861533873984
419,198,0.23014001050057703
420,3269126,0.6527862123380026
421,8958418,0.6966564375206536
422,2155279,0.6346560950953991
423,5282211,0.6736675823594355
424,28667223,0.7472760127476151
425,4178571,0.6634678013250709
426,3377,0.3535805648945171
427,84,0.1928246472224777
428,25,0.14008220686199524
429,809,0.2913943687293737
430,4,0.06033012269864916
431,4,0.06033012269864916
432,12,0.10814061376928175
433,122281,0.5097847324147841
434,555594,0.5756601213811938
435,6734607,0.6842389832379634
436,2388929,0.6391352851225859
437,216,0.2339266572598715
438,27931,0.4455252749247687
439,271772,0.5445408126613595
440,111888,0.5059192324330347
441,1985670,0.6310891140712448
442,3182031,0.6516110692571562
443,1,0.0
444,9,0.09562098214126516
445,422368,0.5637289200688889
446,542199,0.5745980527970417
447,12670688,0.7117443669507856
448,13,0.1116239911172034
449,1506232,0.6190628507181057
450,10423,0.4026276423667612
451,208438,0.5329942754417133
452,184692,0.5277305645350548
453,143,0.2159779581271907
454,92962,0.4978548354665333
455,4411556,0.665829060458373
456,8862210,0.6961865421690286
457,134,0.21314901392995794
458,829552,0.5931046185654607
459,133042,0.5134552625123915
460,96,0.19863579781725546
461,236526,0.5384957932900253
462,11952549,0.7092051763740593
463,29054459,0.7478599309457612
464,340690,0.5543765162833076
465,923627,0.597779537298052
466,260933,0.5427695982599064
467,1601485,0.6217314416239359
468,21334377,0.7344189946854877
469,2716578,0.6447286866961481
470,964327,0.5996561689593582
471,480,0.2686769012482531
472,673287,0.5840215925277434
473,18944,0.4286290325145639
474,115,0.20649462735292812
475,17895478,0.7267695905470828
476,2573351,0.6423715218398124
477,242392,0.5395619262394219
478,834635,0.5933704633120858
479,4213440,0.6638294481819031
480,656031,0.5828916811285492
481,425568,0.5640573915838638
482,292,0.24704656025882082
483,132,0.21249458077926903
484,10352430,0.7029504849169131
485,2796,0.34536427128528646
486,1,0.0
487,81,0.19124196428253032
488,245664,0.5401454504677866
489,1072779,0.6042943051707133
490,433035,0.5648143524829332
491,391392,0.560414194062136
492,4800657,0.6695075166229122
493,4008495,0.6616594368203258
494,49435,0.4703711984486691
495,2680860,0.6441526972076282
496,279,0.24506461778068273
497,2319573,0.6378531274398299
498,1299763,0.6126468804499053
499,2339935,0.6382334848516137
500,156255,0.520454177951528
501,2,0.03016506134932458
502,16464942,0.7231438210683026
503,923233,0.5977609690469443
504,594081,0.5785749299145603
505,51,0.17110905844003363
506,4574556,0.6674080242211865
507,761277,0.5893668378521292
508,5915090,0.6785922756199728
509,45587737,0.7674637881348072
510,10878594,0.7051079703544673
511,967618,0.59980443520529
512,296936,0.5483945557240089
513,3444704,0.6550629214225854
514,7491,0.38825277335321384
515,1498400,0.6188359733781106
516,12314,0.4098832111675827
517,297845,0.5485275753989273
518,456138,0.5670763317365907
519,84006,0.49344624995131875
520,2642,0.34289876335457775
521,13,0.1116239911172034
522,90,0.19582714692158737
523,192924,0.5296282862778495
524,3304968,0.6532607485690045
525,20142265,0.7319166804270117
526,3675368,0.6578836167812054
527,25,0.14008220686199524
528,2898,0.34692360086571616
529,4,0.06033012269864916
530,5352803,0.6742453225047579
531,8520915,0.6944774454760642
532,339001,0.5541602306006221
533,2550029,0.6419753159112894
534,4084,0.36185305203844137
535,1227117,0.6101439111085663
536,1140343,0.6069522974921999
537,36030,0.4566058498988594
538,77481,0.4899275015836365
539,1456783,0.6176101614279272
540,10853,0.40438696853962264
541,2899,0.3469386151782394
542,1160899,0.6077297907221906
543,1458646,0.617665779917696
544,3170677,0.6514555088016178
545,1132,0.30601423826295504
546,17,0.12329856736940105
547,340395,0.5543388173141459
548,106471,0.5037595713513714
549,59579044,0.779112303478116
550,155963,0.5203727761927908
551,2418768,0.6396754937298489
552,3187,0.35106048034087406
